feature,label
(()(()()((())()((())())())()),)
,
(()()(((()()()))(()))()(),)
(()(((()())()()()))(,))
(()()()(())()(())()((()(()(((),))))))
(()(),)
(()(),)
((()()(()(()()()))(()())(()))(,))
(()()((()()(()()())))()()()()(,))
(()(())()((()(())()))()(()()()(),))
((()())(,))
(((()))()()((()))(()()(())()())()()(,))
(()()()()((()()(()))()())()((),))
(()(())((())(())())()()(,))
(()(()(()()())(()()())(),))
(()(()(()))()(,))
,
((,))
((()()()()())(())((),))
,
((()()())()((()),))
(()()()()()()()()(()(),))
((())()()((())(,)))
(()(()())()(()()()((())),))
,
(((()))()()()()()(()())()(()(,)))
(((()()()())(())(())()()((())()))()(),)
(()(())()((()()())())()(),)
(()(()(()))((()(()()),)))
(((())()()())((()()()))()(,))
(()()()()()()()(())()(())(),)
((()(()())(())())(()()())(,))
((()(()()(()))(),))
(()()(()())()()()()(())(()(),))
(()()(()(()())())(()),)
((())()()(()()(()))(),)
((())()()()()(()(())),)
(()(())(())(()(()(())())()(,)))
(()()((()()))((()))()((),))
(()(,))
(((()())()()()()(()((,)))))
((()((()))(())()(,)))
((()(()))()((()()()(())()()())(),))
((((()()))()(()())(()()((()))()))(),)
((()()()(()))(())()(((),)))
(()(())((()())()()(()))()(,))
(()()()()((())(,)))
(()(())()(()()((())())),)
(()()((())(()()()()()(())()())),)
((())((()),))
(((())((((,))))))
(()()(()()()()()()((())())),)
(()()()(()(,)))
((()()(),))
((()())()()()()((,)))
(()((()()()))()()((()))()()(())()(()),)
(((()))()(()((),)))
((((((())))()))(((())))(((,))))
(()()((()()())(())()(()))()()(()),)
(()(()()()())(()()(()(),)))
((()()()())()()(),)
((()(()((()))())())(()()()()(())(,)))
(()()()()()(,))
(((()()()((()),))))
((()(())(,)))
(((())()())((())(()))(,))
(((),))
,
(((())),)
((()())(())()()()()((())(),))
(()(()(()()))()((())((,))))
((()()((())()()))()(()())()((),))
((())((()((()))())()()()(()))((,)))
(()()(())(()(,)))
(()(())((()())()(()())()((,))))
(()(()()())()((((()()),))))
((,))
(((())()()(()()()()()())(),))
((()())()()((()()))(()()()(())()),)
,
(((())()()()(())(())(,)))
(()(())((),))
(((())())()((())())()()()(,))
,
(((),))
((((()))()()(()))((()())())(())((),))
(()()()()()()(()(()),))
((())()()()(())((((())())(()),)))
(((())())((,)))
(((()()()))()()()(()),)
(()()()()()()()(,))
((((())()))()()(,))
((())((()()))((())())()(),)
(((())())(()(((()),))))
,
(((()))()()((()))(),)
(()(()()())((()((())(,)))))
((()())(()((,))))
(((())()(()())()()(()(())()()))(,))
(()((()()))((()))(())(,))
(()(,))
(()()(())(()()())()(())()(,))
(()(()()(()())()()(()(),)))
((()())(()),)
(()(())()()(()()()()(,)))
((((())(())))(())()((()))(,))
(((()()))()()()()(()),)
(((()()(()()())()))()()()((,)))
((()(()()),))
((())()((()()))(()()(()))((),))
(()()()()()()()(()()(()),))
(()(((())(),)))
((())((())())(()()(())()(()(,))))
(()(,))
((())(())()(())()()((,)))
(((()((()))(()()())(()())()(,))))
(()(()()()()()()(()),))
((()()(())(,)))
(()()((()()())(()()()())(,)))
((())(())()(()()()())(())((,)))
((()((()()()))()())()()()()(,))
,
(()()((()()))()(()((()())),))
,
(()(()(),))
(()(())(),)
,
((()()())()()()(),)
(((())(())()()())(,))
(((,)))
(()()(())(()(()()),))
(()()()()(()()(())()()(())(),))
(()()(,))
((())(())(()())(())(,))
(((())()()((()))()()()((())),))
((())()(())(())(()((,))))
((()(())()()()()())(,))
((()())()()()()()(),)
(()((()())())()()(()())(()())()(),)
(()(),)
(()(())(()()()),)
(()(()()()()())(),)
((()()()()(,)))
(()()()((())()(()()()(()()))(,)))
(((()))()()()()((),))
((()(()(()())()()(()(())()))((()()))),)
(()(()()())(())(()()(())(())(,)))
(()(())()(()()()(),))
((()())()()()()((())),)
((())()()()()()()(())(,))
(()(())()()((()))(((()))()(()())(,)))
(()(()()()((()))()(,)))
((())((())(),))
((()()()()),)
(()((()))()((())(()(())))(,))
(()(())()(()(())())()((),))
(()()(()((()()))(())()(),))
,
(((()())((,))))
(((()))()((((())()))(,)))
(()(())((()(()())())()())(),)
(()((()))()()((()))((,)))
((()())((()))((()()())(()))((),))
(((())((,))))
((()()()()()()())(())()()()(,))
(((()((())()()())))()(())()()()((),))
((()()(())(())(())()()(,)))
(()(()())()((())()(,)))
((()())()()(()((())())())(),)
(()(())()()()((())((()))())(()()),)
((()(()()(()()))()(((),))))
((()())((())())()(),)
(()()(()(()(()()())()()(,))))
((())()((()),))
(()()()(,))
((()()(,)))
((()()()((())(())())())(),)
((()()(()()())())()((,)))
(()(())(()())()()()(()(())(,)))
((()(())())(())(()(())())()()()(()),)
((()(())(()))()(())(())(())()()(),)
((()()())()()(()()()())(()(()()),))
((())()((,)))
((()()())()()(,))
(((())(),))
((()()(())()()()()),)
(()(()(()())())()()(()()(()(),)))
((())(())(()())()((()(),)))
((()(())(()()(())()())((),)))
(()(()(()())()()())(,))
(()()()()()()()()()()()()()(()(())),)
(()((())(())()(()()(())(,))))
(()(()()()()((())()()),))
(()(()()())(()(())()),)
((()((())()((()))())())(),)
((())()()(())(()())(),)
(()((()))()()(())()(()()())(),)
(()(()())()()()(()()(())(())())(,))
((,))
((()()()()((())()(())()()(((,))))))
((())(()()())((()(())()()()),))
(()()((()())()(())()(,)))
(()()(()(()()())((()))()()())()(),)
(()()()((()((()()))))((),))
(()(()()(())())(()((,))))
(()(())()()((())())()(),)
((())()(())()(,))
(()(),)
((()(()(()))()()()())()()()()(,))
((())()()(())()(())()((),))
(()()()()(((()))(())(()(()()())())(,)))
((((),)))
((())((((()())(,)))))
(((())(,)))
(()(()((()))()()(()))(,))
(()((())())(()(()()()())())(,))
((()()(()(()(()()())(()())))((())),))
((())()(()()()(())()()(,)))
(()(())(())()()()()()(())(()(),))
(()()(()()())(()(),))
(((()))(((())))()()(()()()),)
(()((()))((()())()()()())((,)))
(()()()((()()())(()())()())(,))
((())()()(()(()(((((,))))))))
,
(()()()()()((()()))(())()(,))
((()()())()(())()()()()(()()(,)))
(()(())((())(()())(())())()(),)
(()()()()(,))
(()()()()()(()()()(,)))
(()(()())(()()(,)))
(((()))()()((,)))
(()()()()()()()()()()(),)
(()(()(()))()((())()())(())(())(,))
((()((())()()())()()(,)))
(()(())(()()()())()((),))
(()()()()()((()))()()(()())(),)
((())()()()()(()()()())()()((())),)
(()(())()()(())()()(()(()()((()),))))
((()()())()(()),)
((()())(()(()()()())((),)))
((()((())()(()))()()(())()())(),)
(()()(()),)
(((()())())()()(()(()()(())))()()(),)
((()()())(()()(()))(()(())()()(()),))
(()()()()()(()(())()(),))
((())()(((())())(,)))
(()(),)
(()()()(()()())()()()()(()()(,)))
((())(())(()(),))
(()(())(()())()()((())(()((,)))))
(()(())()((,)))
(()()()(,))
(((()()(()))(())())()((()),))
(()()(())()()()()()(())((())),)
(((,)))
((()()())(()()(()()()),))
((())()()(())()(()()())(()()),)
(()((())()())(())(())(())()()()()()(,))
(()(())()((()),))
(()((()())),)
,
((())(())(()()(()())())()(())(),)
(()()(()(())()(()))(,))
(()()(())((()()())((())(),)))
(()((())(()()(())()()()),))
,
(((()))(()())()(()((())()))()((,)))
(()()((),))
((())(()()())()()(()(()(,))))
(()((())()()()())()()()()()()()(,))
((())()()((()()))(())()()()(,))
(()((()()()()(())()()))()()(()(((),))))
((((())(()))(())((()))())(()()),)
(()(()())()()((()())()())(()),)
((())()()((),))
(()(())(())()()(())(())()()()()()(,))
(()(,))
((())(()())()(()()()()())()()(),)
((()()()()(())()(),))
,
(()(())(),)
((((()))()())()(,))
((()()((,))))
((()()()(()()))()(()()()())(,))
(()()(())()()()((())(()(())(()())()),))
(()()(())((()()()(()())())),)
((()(()())())(())()()(())(()(,)))
,
(()((())())(()()((()),)))
(()(())(,))
(()()(()())(())((()))()()()(()(,)))
((())(()(())(()())()()),)
((())(()()),)
,
((())((()()),))
(()()(())()()(())(())()()()(()(,)))
(()()(())()((()))()(,))
(()()(()())()(())()(()),)
(()()(((())(())))()(()(())())(()),)
(()()(),)
(()(())()(())(())((()))(,))
((()()(()()))()()((),))
(()()(())(()()()()()()((,))))
(()((())(),))
((()()())((()))(())()()((),))
((,))
(()()()()()(()()(())()((),)))
(()()(())(()()(),))
(,)
((()((())())((()()())())())()(),)
(((())())(((,))))
(()((,)))
((())(()(())()()()(()))()()(())((),))
(()()()((()),))
((())()(()()()(())()()(()()((()),))))
(((())()()()()()(()(,))))
(()()()((()())(),))
(()(((()))()(()()),))
((())()()(()())(())(((())))(()()(,)))
(()(())((()))(,))
((()())()(()())(,))
,
((,))
((())()(()()()()()(((())))((),)))
(()()()()()(()()(,)))
,
(()()()()((,)))
(()(()())(()(((()(,))))))
((()()(()()))(((())))(((),)))
(((()()))()(()())(,))
(()(((),)))
(((())()())(()()(,)))
(()()(,))
,
(((),))
((()()())()()(((()))()(,)))
(((()))()()()(,))
(((()())(),))
(((()())(),))
((())((()(()())(()))),)
(()((()(()())()((())()))())(())(),)
((())()(())(()()()((())))(()(,)))
(()((()))()(())(((()()),)))
(()()(())()((())(())())()()(,))
(()((())(()))()(),)
((()()()(())()()())()(()),)
((())()()((())())()(()()(,)))
(((())()())(())(()()()()(,)))
(()()()()(()(()))()()()(,))
(()(()((())))()(())()()()()()(,))
(()()(()(())()(),))
(()(()()())()(()()(())),)
(()(()())()()()()(()(()()())()),)
((),)
((())((()()),))
(((()()()))(())((((())),)))
((()()(),))
((())(((())()),))
(()((())(()()((()))())()()(),))
(((()(()())))()(()()(),))
((())()(()()()()())()(((()),)))
(((()))(()())()()(()()()())(,))
((())()()((()))()()(())(,))
(()()()(())(()(())()(()()()()()))(),)
(()()(()(()))(())(())(()(()),))
(()()()(()(())()((),)))
(()((())()(()))(,))
(()(()()),)
(()()((()()()((()))()()(,))))
((()()()((),)))
(()(()(()()))()(())((())((,))))
((())((())(())())((())((()()))(()(,))))
(()()(,))
((()()()(,)))
(()(()()())()((()())(()()()))()()(()),)
(()(()())()()(()(),))
(()()((()(()))()())()()()()(((,))))
(((()())())()(())(()()(())()(,)))
(()(()()())((()))((()))(()(),))
(()(()()())((())())((())())(()()()),)
(()(()()((())(()())()((())()(,)))))
(()((())()()()()),)
(()((())(())())(()),)
((())()(()()(()())()()((,))))
(()(())()(()())()()((,)))
(()((),))
((()())(())(()(,)))
((()()()(()()())()()(,)))
(()()(((())()))()(())(,))
(()((()())(())()()(())()()((,))))
((()()())()()()(()())()(())()(,))
(((()(()))((()(()))()())()(,)))
(()((())()())()((()))(())()(,))
(,)
,
((())()()(()())((()(()))()),)
((()()())((),))
(()()(())()()()(()(()(,))))
((())()(((()))()(())(()))()()()(()()),)
((())(()()(()()(())(())))(),)
(()()(()())(())(()(()))(,))
(()((()()))()()()()()()((,)))
((())()()(())()()()(),)
(()()()(())(()()()(()(,))))
((()((()()))(,)))
((()())()()()()(()(),))
(()()(())()(()()()())(())()(())(),)
((()),)
((())(()()()()(()(()),)))
(((())())()(()(())(),))
((())()()()(())(,))
(()()((,)))
(()()()(()(),))
,
(((())()(()))()(()()()()()()()(,)))
,
((()()()()())()()()()()()(())()()(()),)
(()((()))()()(()()(()),))
((()()(()()))(()())()(),)
((()(()())()())()((())())(),)
(()(())(()()()())()(()()())(())(),)
(((,)))
(()(()()(())(()())()()(,)))
(()(()())((()()()()()())())(()(,)))
((())(())(()()()((())()()()),))
(()((()))()(((()())((),))))
(()()((((()))))()()()()(),)
(()()()()(())()((())())(()),)
(()()()(())()()()(()())()()(((,))))
(()(()())((()()()()()()()()(()),)))
(()(()()())()()((,)))
((())()((()())())()(),)
((,))
(()()((,)))
(()()()(()())()()()()(())()()()(),)
((((()()()())(())))()()(()(,)))
(()()((()()(())()()))()(,))
((()()(()()()()())(()()()()))((,)))
((())()(()()()((())(())))(,))
(()((()((()())))((())()))(),)
((()()())()((),))
(((()()()((),))))
(()()(())(())()()()(),)
(()((()()(())()())()())(,))
(()()(()(())()(()),))
((,))
(((())((()(())))()(())(())()(),))
((,))
(()(())()(())()()(()()())()()()()((),))
(()()(,))
(()()(()((())())(())()(,)))
(()()()(((()))()()(,)))
(()()()((())(()((())())))(()()(,)))
((())(())()()()()((),))
(()()()()()()(())(())(((),)))
(()()((()()())()(())()()),)
(()(())(()(()()))()((()),))
(((())()()())()((()))()()()()(,))
(()(((()()())()(()))(,)))
(((()())(()))(()())((),))
((())()()()()()()(())(),)
((()()()())(()()(()))()(,))
(()()()(()())(()()(,)))
(()((()))(()()()),)
(()()()()(())(())()(,))
(()()()()((()(())(,))))
(((()()())()())(()(()(,))))
((())()((()()()(()(())()),)))
(()()()()()(()())()(())()()(),)
,
(()(())(()((()(),))))
(()(,))
(()(((()()()))()(()))(())()(()(),))
(()(())(),)
(()()((()((())()((())))))((),))
(()(((()())()()),))
(()()(())()()()(()(),))
(()((,)))
(()((()))()(((),)))
,
(()(((()))(()()(),)))
(()(()()())()(())(())(((),)))
((()())(()()())((()))(),)
(()(())()(()()()()(()())(((()()())),)))
(()((()),))
(((()(()))(()()()))(())()()(()(),))
(()()(()(()()()(()()()((),)))))
(()()()()()()()()(()()((,))))
(()()()(((()))(())(())((,))))
((((()())()))()()(()()(()))((),))
(()()()(())(())()((())())(),)
((()(()())())()(((()()())))(),)
((((,))))
(()(())(())(())(())(,))
,
(()(()())(,))
((()()(())(()(())())(()(),)))
(()()()()((())(())(,)))
(()(())()((,)))
,
(()()(((,))))
((()()(()()())()(()()())),)
((()())(())(((,))))
(()(,))
((())(())((),))
(()()(()(())(()()(()(()())()))())(),)
(()(())()()(())()(,))
((()(()))()()(()),)
(()()()()(())(()()())()(()(())),)
((())(()()(())(()))()(()(()())()(,)))
(()()(()()()((())(()(),))))
(()((())(()(()))(())(),))
(((()))((()())()()()()()(())(,)))
(()(((())()())()(),))
(()(()()()((),)))
((())()()()()()(())(()())()(()()((,))))
((()(,)))
(()((())())()(()(())((())(),)))
(()()(()())(()()())()(()()())(,))
(((()()())(()(())()())(()),))
(((()))(())(()(()()())()()((,))))
((()())(()(()))()()(,))
(()(())(()())((()))()(),)
(()((()()(())()())()((),)))
(((())())(()()()()(()(())))()(,))
((()((()),)))
((),)
(()()(()())((()()())(()(()))((()))(,)))
((((()))()(()())())()(,))
,
(()()(())((()()))((,)))
(()((()))((())())()()(())()(),)
(()((((()))((()))())(()))((,)))
(()()()()(())()(((,))))
(((()()())()()())(())(),)
((())(()(())()()(()))(())(())()()(,))
((((())())(()))(((),)))
(()()()()()(,))
(((()))((,)))
((,))
(((()))()((())()())()(),)
(()()()()()()(),)
(()(()(())())()((()))()()(,))
(((()())())(),)
((())()()()(()()()()((())((()())),)))
((()(()()())()(())(()))()(),)
(()(())()()(())(())()()()(),)
((())(()()())(()()((()())))((,)))
((())(()(,)))
(()((())()())((,)))
(()()()(()(())()())((()(())())(,)))
(()()((()()()(((),)))))
((,))
((())()((((())))()()()()(()()()(),)))
,
((()(()))(((())))(()())(()),)
((())(())(()(()())),)
(()((()))(()()()()()(((((,)))))))
((()(()()((())(())()(()))()(()),)))
(()((()))(()()(),))
(()(()()()()()())()()(()(,)))
(()()(((())(()()()(),))))
((),)
(()(())(,))
(()()((()())()()(())(()()()((),))))
(,)
((())()()(()()()()()())(())()()(,))
((()(())()()())()()((((),))))
(()()(())(())()(((())(,))))
(()((,)))
((),)
(()((())()()()()()())()()(()(),))
(()()()(()(,)))
((()()(())()()()(())(()(),)))
(()(())((()(()))())((())),)
(()(())((,)))
(()()()()(((())))()()(,))
(()((())()())()(())(())(),)
((())()()(())()()()()(((()(()(),)))))
(()(())()(())((())()((,))))
(((,)))
(()()(()(((,)))))
(()(())(,))
(((()))()()(((())()())()()())()(())(),)
(()(()((())))()()()()(,))
(()()(()()()())()()(()(,)))
(()()(())(,))
((()((()()(()(())()),))))
((()()(())()()(,)))
(((())()(()),))
(()()()(())()((())()()())((,)))
(()(()()((()()))(()()(())(())))(()()),)
(()()()()((())()(),))
((())()((()))((()()(,))))
(((())(()))(),)
(((())((())()(),)))
(()((())((())))(()()())(())(),)
(((),))
((())((()()))(())(,))
((())()(())((()(),)))
((())()((())()(()()()()))()()(),)
(((())()()(()())()())(((()())((),))))
(()()((()()()(())())()(())((())))((),))
(((())(()))()(,))
(((()(()))())()(()(())(),))
((()()()()()())(())()()((()))((),))
((()())((())(()()),))
(()()(())()(()(),))
(()()(,))
(()()()(((())(),)))
(()(((,))))
(()()()()()((())())(()(),))
((((())))()()(()(())(()()(),)))
(()()(())()()()(())(,))
(((()))(()())()((()))(()()())((),))
(((())()(())())(,))
,
,
(()(()(()),))
((()(,)))
((())((()())()()()(())(()))(,))
((())(((()))(()(),)))
((),)
(((())),)
((()())()(((())()()(((()))),)))
,
((())()(())(),)
(()()()((()))()(,))
(()(()()((),)))
(()(,))
((()())()()()(())(()()()(())(),))
(()()(()()()()()(()()()())(()),))
(()(,))
((())()()()()()(())(()(,)))
(()()(())(,))
((()((())())(()(,))))
((())()(()(((),))))
((()())()(),)
((()())()(())(,))
((()())()(())()((,)))
((())()((()(()(())()())(),)))
((()((())())(()))(())((()()))()()(,))
((()()((,))))
,
(()(()())()()((()))()(()()((,))))
((()()()),)
((()())()(())()(,))
(()()()()(()())(,))
((()((()())()(()()),)))
(((())(()()(()())()()()()),))
(((())())()(())()(())(())(),)
((())()()()(((())()())()())(()()(,)))
((()()()(()()((()(())())(,)))))
(()((()()())()())(()(),))
((()()(())(()))()(()()((),)))
(((())())()(,))
(()()()()(())()(()(()),))
(()(((),)))
(((())()())(()())()()(())(),)
(()(()())()()()()((,)))
,
((())(())((()()()()()(,))))
((((())()))()(()),)
(((()()))((()()))()()(,))
(()()(()()((()())))(,))
(()(,))
(()((())()())()(,))
(()(()()(())()())()()()((,)))
(()(()(),))
(()((),))
(()(())(())()()(()(()())()(()))(),)
(((()()))()()()(()()(()))(,))
((()(()(,))))
(()(())()(()(())((())())()()()),)
(((())(())()()())()(()(,)))
(()(,))
,
(()(()())(()()(()()))(),)
((()())()((,)))
(()()()()()()(())()(,))
((()(())()(())(()(,))))
((())()(()()()()(()())(()()),))
,
,
((())(((()()(()))()))(()()()),)
((()()())()(()()(),))
((()()()()())()((()))(())(((,))))
,
(,)
,
((())()()()()((,)))
(()()()()()()(())(()(,)))
(()((),))
(()(())()()()((,)))
(()(())(())()(,))
(()(()(()())(())(()()(())(,))))
((()()())((),))
(((((())(((((())))(()())))())()()),))
(()((()))()((()(,))))
((()()()()())()(),)
((())()((())()()(((()))()()(()),)))
((()(()())((())()())(())),)
(((()()())()())()()()()(()())()(,))
(((()))()()()(()()(()(,))))
((()((())()(()()),)))
,
(()()()((()())(())()()()(()))((())),)
(((,)))
((()(()((())())()()())())()(),)
,
(()()(()()())(,))
(((())())()()((()()(()))(()))((),))
(()((()))()((()())(),))
(((()))(())(,))
((((())))((())(,)))
((()(()()))()(())()((()))()(),)
((()()())(())((,)))
(()()()()(()()()(,)))
(()(())((,)))
(()(),)
(()()()(,))
((())()(()())()(())(())(()(()()),))
((((())())()(())()()())(())()()()(,))
(()()(()(()(()()())),))
(()(())(()()()),)
((()()(())()()())()()()(),)
(((()))(()((()))(,)))
((,))
(()()()(,))
,
((())(()((())()))(()(())()()),)
(()()(()())()(()()(())())(,))
,
((()())()()()()()((()),))
(((()))(())(,))
((()(())(())())(,))
(()()()()()(),)
,
(()(()((())(())))(()()()())(())((),))
,
((,))
((()()(()))()()()(()),)
(()()()()()()((())()()()((,))))
((()())(()),)
((())()()()()((())((()()))(,)))
(()(())(),)
(()()(()())(((())())()(),))
(()()()(,))
((((()())))()()()(,))
((()()()(())()()(())())((())()),)
(()((()()())())()(()()()),)
(()(())(()())()(()()(()(()),)))
((()()(())(()()()())()()())(),)
,
((())(())()(((,))))
((())(())()()(())(()(),))
((())()()()(()((()(),))))
(()()(()()((())()())()((,))))
((()()()())(()()()((())()()()),))
(()((())())(()()())(,))
(()(()()()()()(()(()))()(,)))
(()()()()(),)
(()()(,))
((()(()))()(()),)
(()((()))()()()()(,))
(()((()()(,))))
(((()))()(()()())()(())()()()()(()(),))
((,))
(()(())((()),))
((()())(()()(),))
(()()()((()())()())((()()),))
(()(())(()(()())(),))
(((())()()()(()())())()(((,))))
(((()()))()(),)
(()()()()()()(()()(()))(())(,))
((())()()()()()(,))
((())()(())()()((()(,))))
(()(()()())()()((,)))
,
((()()(()(())()())())(((),)))
((())()()((),))
((())(,))
(()()((())(()())((,))))
(((()))()(())(((())))((()()))()()(,))
(()()((())),)
((())()((()())()()()()()(()(,))))
(((()))()()()(())()()(())(,))
((()()()(())()()()(())),)
(()()(()(,)))
(()()(())()()()()(,))
(()()()((()))()(()()((())(),)))
((()(,)))
(()()()()()()((),))
(()()(((()))())(,))
(()((()())(,)))
(()()()(()()()((()())))((())(())),)
((()((()))())(()(()))(((),)))
((())()()()((())(())(()(())()))(),)
(()(())()(())(()())()()(,))
((())(()()(())(()(())))(())(,))
(()()(()()(()())(((())()),)))
(()(()()()()((())))((())()()),)
((())((),))
(()()(())(())(())((()))(())()(),)
(()(())()()()(()()(()(()()()()(),))))
(()()()()(,))
(((()())())()((())()((,))))
(()((())())()()(),)
(((())())(())(()(,)))
(()(()())()()()((),))
,
(((()(())()()()))(,))
(()()((,)))
(()(()(())()()((()())()(),)))
,
(()()()()((()((()())()()(,)))))
(()()()()((()()))()(()())()()((,)))
((()((((),)))))
((()((),)))
(((,)))
(()()()()(()(,)))
,
,
((()())()()()(),)
((())(())()(()()(()()())(()()()()()),))
(()()()(()),)
,
(((())((()()())))()(()((,))))
(()()()()((),))
((())(())()()(()()()()),)
((((())()()()(()())),))
((()(())(()))()()(),)
(()()(())()()()()(,))
((())((()(())())),)
(()(((())()(()))()(()())()()(),))
((())()()(()(()(())())((()(,)))))
((()(())())()(,))
(()()()((()())(()()(,))))
(()()((())(())()(())())(()()()),)
(()()()()(()(),))
((()((())(()))(),))
(()()()(())((((())())())())(,))
(()(())()()()()(,))
(((()())(()))(()((()),)))
((())()((),))
(()(((()()()(()))()(,))))
,
(()(())(()(()()()())()(()))(,))
(()()()((()()()))(,))
((((())(())())()()(,)))
(()((()))()()()(),)
(()((()())()()()())(()(,)))
,
((())((()()(())())()(,)))
((()())(())(()())(((())((),))))
(()(()()(()))(((()()))())(()(())),)
(()(())(())()()()(())()()()()((,)))
((())()((()))()()(()())(()()),)
(()()()(((()))()(()()()()((((,)))))))
(()(())()(()(())()())((,)))
((((()())()()))((())()(),))
(()(())()(())()(),)
(()()()((),))
,
((),)
((((()()),)))
((()),)
((()()()()())()()(((,))))
,
(((()()())((()))()(()(()())),))
((()()((()))()),)
(((()((()))()()(),)))
((()()(())()()())(((),)))
((())()()()()(((())))()(,))
(()()(()())()(()(()))(()((((,))))))
((()())()()(),)
(()()(())()((),))
,
(((()))()()()(()())(())()()((,)))
(()(())(()()()())(()(,)))
(((())()(()()))()()((,)))
(()()(())(()(())())()((())),)
(()()(),)
(()()(()())()()()()()(,))
(()(()(())())(),)
(()()(())((),))
(()()()((()(())))()()()()()()(()()),)
(()((()))(()()())(),)
(()(((())()())())()()(),)
(()()(())()()(()())(,))
(()()()()(()((),)))
((((())(),)))
(()()((()())()((()()))()),)
,
((()()())(()(((,)))))
((())()()()()()(()()()(())()),)
(()(())(()(()(()))()((,))))
(()()()((),))
(((())()()(((()))(,))))
(()(())((())()(()(()()))()()(),))
(()(()(())(())(())(()(()()()(,)))))
(()(()()((()))(()())()(()()),))
(((())((())()()())()())(())(,))
,
((())(())(()()()()(()))(())()()()((),))
(()(()()()()(((()))())()()(),))
((()())()()()(()(())((,))))
(()((()()))()((()()(())()()()(,))))
(()()((())())()()()(()())((()))(())(),)
(((())())(())(())()()(()()())(()()(),))
(()(())(())(()),)
(()(()(()())(())()())()()()()()(()),)
((()()()((())))()(()()()())(,))
((()())(((),)))
,
(()()()()()(())()()()(())(,))
((()()()()())()()()(),)
((()()())((()(())))((()())((,))))
(()(()())((()()),))
((()()()(()),))
(()((()))()(((()()())()))((),))
(((()())(())())((),))
(()(())(())()()(,))
((())()(()()())(()()()(())()(((,)))))
(()()(())()((())(())())(),)
((()(()))((()))()(()()),)
,
(()(())((()())((())(()))()()()()(,)))
(()()()(()()()(()(())()()()))(())()(),)
(()((())()()()()())()()()(()),)
(()()()()()()(()(()(()))(())()(,)))
(()()()()(()(,)))
(()()(()(())())(())((((()))()),))
(((,)))
((()()((()))(())()()()()()(),))
((())()()(()(()()))(),)
((())()(()),)
